Key,Value
XOXXO-X-O,1
XOXXO---O,0.32591034482758624
XOXX----O,0.23478739130434784
XOX-----O,0.17265850000000002
X-X-----O,0.3496002978947369
--X-----O,0.2327704313124109
-OXOXXO-X,1
-OXOXXO--,0.37062352941176474
-OXOXX---,0.390003950617284
-OXO-X---,0.3943515801526718
-OX--X---,0.2994100086956522
O--XXXO--,1
O--XX-O--,0.3739290555555556
---XX-O--,0.3184546556410257
----X-O--,0.27802069316500716
OO-OXXXXO,0.010000000000000002
OO--XXXXO,0.0005357142857142858
OO--XX-XO,0.2547735849056604
OO--XX-X-,0.13662891566265062
OO---X-X-,0.18105905882352943
XOOXX--OX,1
XOOX---OX,0.7150780821917808
XOOX-----,0.5025626944444445
XO-X-----,0.34514103025000004
XXO-OO-XX,0
X-O-OO-XX,0.28210597014925376
X-O-O---X,0.13254568595041324
XXOOO-XX-,0.0005121951219512196
XXO-O--X-,2.045454545454546e-06
X---O--X-,0.11346094987468675
X-XOOXXOO,0.010000000000000002
X-X-OXXOO,0.0004487179487179488
X-X-O-XOO,0.5644203389830509
X-X-O-X-O,0.3724173563218391
X-----X-O,0.3034878095923262
X-XOOO--X,0
X-XOO---X,0.4207793506493507
X-XOO----,0.3560219710144928
X-XO-----,0.3803278670270271
XOX-XX-OO,0.0006133333333333335
XO--XX-OO,0.32039322033898304
XO--XX--O,0.23000641975308644
XO---X--O,0.09720074166666667
X----X--O,0.08482565382585754
X-------O,0.21332004764919946
OOO-XXXXO,0
O-O-XXXXO,0.00046987951807228926
O-O-XX-XO,0.5226064516129032
--O-XX-XO,0.4097689411764706
--O--X-XO,0.17290435256410258
--O--X-X-,0.12361308333333336
OOXOX-X-X,1
OOXOX---X,0.5641985074626866
OOX-X---X,0.33353458823529414
OOX-----X,0.4303337037037037
-OX-----X,0.35954299947916674
-OX------,0.25148466956764304
OXXXOOXOX,0.1
OXXXOOXO-,0.010000000000000002
OXXX-OXO-,0.0010000000000000002
OXXX-O-O-,0.00010000000000000003
-X-X---O-,0.104729632629108
X--XOOXXO,1
X---OOXXO,0.2934978260869565
----O-XXO,0.06721302836879434
------XXO,0.12647714289156628
XOOXOXXXO,0.1
XOO-OXXXO,0.010000000000000002
XOO-OXXX-,0.0010000000000000002
-OO-OXXX-,0.28038688524590166
-OO--XXX-,0.09000361111111112
-OO--XX--,0.13743479508196724
-O---XX--,0.1918955743732591
XO-X--X-O,1
XO-X----O,0.44534516379310346
OXX-OX--O,0
OXX--X--O,2.073170731707318e-06
O-X--X--O,0.11608305095541403
XOXXXOOOX,0.1
-OXXXOOOX,0.010000000000000002
--XXXOOOX,0.0010000000000000002
--XXXOOO-,7.164179104477614e-05
--XXXOO--,8.390804597701153e-06
--X-XOO--,0.2512100405405406
--X-X-O--,0.19652056344339627
-X-OX-XOO,0.2848784810126582
-X--X-XOO,0.222756
----X-XOO,0.5088142480620156
----X-X-O,0.37130402925000006
-OX-X-XO-,1
-OX-X--O-,0.5665848692307692
--X-X--O-,0.40402542700534766
X--OOOX-X,0
X--OO-X-X,0.17883285714285715
---OO-X-X,0.34432049218750005
-X-XOOXOX,0.0010000000000000002
-X-XOOXO-,0.36006
-X-XOOX--,0.1659087951807229
---XOOX--,0.383214151724138
---X-OX--,0.2757837221052632
-----OX--,0.29403000263736273
OXOOOXXXX,0.1
OXOOOX-XX,0.010000000000000002
OXOO-X-XX,0.0005714285714285716
OXOO---XX,0.5833592592592592
-XOO---XX,0.43522522388059703
-X-O---X-,0.28617239667519184
XOOO-XXXO,0.010000000000000002
XO-O-XXXO,0.0010000000000000002
XO-O-X-XO,0.00010000000000000003
XO---X-XO,1.0000000000000004e-05
XO-----XO,0.07700783802816902
X------XO,0.10593287291666668
XOXXOOOXX,0.1
XOXXOOO-X,0.010000000000000002
X-XXOOO-X,0.0010000000000000002
X--XOOO-X,7.812500000000003e-05
X--X-OO-X,0.11880693333333334
X--X-OO--,0.15120053333333336
XOXOXX--O,0.0010000000000000002
XOXO-X--O,0.00010000000000000003
X-XO-X--O,0.25313093750000004
X-XO----O,0.47612228455284555
X-OXO-XOX,1
X-OXO--OX,0.28423157894736845
X-OX---OX,0.5120708045977012
X-O----OX,0.40315267549668876
X--XO-XO-,1
X--XO--O-,0.3708494383561644
X--X---O-,0.388395012631579
X-OX-O-XO,0
X--X-O-XO,0.1424220879120879
X--X-O--O,0.33536467796610175
X--X----O,0.30281703926701575
OXO-X-OXX,1
OXO---OXX,0.21726551724137932
OX----OXX,0.140402
OX----O-X,0.10910244217687076
-X----O-X,0.15990380653266334
XOXO-XXOO,0.010000000000000002
XOX--XXOO,0.0005263157894736843
-OX--XXOO,0.21253750000000002
--X--XXOO,0.13329518987341774
--X--X-OO,0.1747192231404959
X-O---OX-,0.144834821192053
XXO-O-OX-,0
XX--O-OX-,0.21214404761904762
-X--O-OX-,0.09112521666666668
-X--O--X-,0.07390139230769233
-OXO-X--X,1
-O---X--X,0.35439104142480216
XOOX--X--,1
XO----X--,0.38212579285714293
XX-XXOOOO,0
XX-XXOO-O,0
XX--XOO-O,0.684
XX--X-O-O,0.44088670886075954
-X--X-O-O,0.46426671851851853
